姓名,邮件地址,备用电子邮件,手机,所属组,备注,UC,QQ,MSN,个人主页,生日,国家,省份,城市,家庭地址,家庭电话,邮政编码,公司或学校,职务,公司地址,公司邮政编码,办公电话,公司传真
新浪邮箱,sinamail1@sina.com,mailproduct@sina.com,,,,,,,http://mail.sina.com.cn,,中国,北京,北京,,,,新浪,,北四环西路58号,100080,4006900000,
,sinamail2@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail3@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail4@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail5@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail6@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail7@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail8@sina.com,,,,,,,,,,,,,,,,,,,,,
, vsinamail9@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamai10l@sina.com,,,,,,,,,,,,,,,,,,,,,
,sinamail11@sina.com,,,,,,,,,,,,,,,,,,,,,
