企业名称,统一社会信用代码,法定代表人,注册资本,企业地址,交易流水号,交易日期,交易类型,交易金额,对手方名称,对手方账号
杭州钱塘1号企业服务有限公司,91330100MA01276371H,王五强,2000万元人民币,浙江省杭州市钱塘区1号大街745号,TX20260617000001,2026-06-03,消费,360069.61,浙江1号商贸有限公司,6228481671082936327
杭州钱塘2号企业服务有限公司,91330100MA02988898H,吴十华,2817万元人民币,浙江省杭州市钱塘区2号大街277号,TX20260617000002,2026-06-06,转账,419197.97,浙江2号商贸有限公司,6228485313458704252
杭州钱塘3号企业服务有限公司,91330100MA03305732H,钱十华,2802万元人民币,浙江省杭州市钱塘区3号大街24号,TX20260617000003,2026-06-05,退款,70751.88,浙江3号商贸有限公司,6228485452141471417
杭州钱塘4号企业服务有限公司,91330100MA04636024H,孙七华,1199万元人民币,浙江省杭州市钱塘区4号大街42号,TX20260617000004,2026-06-11,退款,48975.08,浙江4号商贸有限公司,6228487794931385340
杭州钱塘5号企业服务有限公司,91330100MA05598960H,吴八伟,2077万元人民币,浙江省杭州市钱塘区5号大街666号,TX20260617000005,2026-06-04,转账,31386.35,浙江5号商贸有限公司,6228481650610990886
杭州钱塘6号企业服务有限公司,91330100MA06397025H,赵七伟,3861万元人民币,浙江省杭州市钱塘区6号大街652号,TX20260617000006,2026-05-30,收款,374037.88,浙江6号商贸有限公司,6228489084064593552
杭州钱塘7号企业服务有限公司,91330100MA07729158H,周三明,453万元人民币,浙江省杭州市钱塘区7号大街178号,TX20260617000007,2026-06-02,收款,347705.42,浙江7号商贸有限公司,6228481541689562243
杭州钱塘8号企业服务有限公司,91330100MA08921815H,钱七军,1042万元人民币,浙江省杭州市钱塘区8号大街762号,TX20260617000008,2026-06-01,提现,470129.51,浙江8号商贸有限公司,6228485992787110609
杭州钱塘9号企业服务有限公司,91330100MA09467554H,郑五军,3346万元人民币,浙江省杭州市钱塘区9号大街521号,TX20260617000009,2026-05-27,提现,169061.69,浙江9号商贸有限公司,6228485567680091853
杭州钱塘10号企业服务有限公司,91330100MA10549152H,钱一华,2116万元人民币,浙江省杭州市钱塘区10号大街167号,TX20260617000010,2026-06-10,收款,490430.29,浙江10号商贸有限公司,6228481672470162327
